transaction_id,customer_id,transaction_timestamp,price,currency,flight_id,booking_reference
TRANS000033,CUST0016,2023-07-01 06:03:32,783.4,EUR,FLIGHT595,1JK4NW
TRANS000034,CUST0011,2023-07-01 23:29:07,693.96,USD,FLIGHT367,HOXQ81
TRANS000035,CUST0012,2023-07-01 00:19:12,402.36,JPY,FLIGHT220,K894FL
TRANS000036,CUST0011,2023-07-01 13:24:14,838.7,USD,FLIGHT984,ECIM7E
TRANS000037,CUST0008,2023-07-01 11:25:08,558.35,GBP,FLIGHT385,3VUY6H
TRANS000038,CUST0004,2023-07-01 07:35:19,155.3,EUR,FLIGHT495,NU31NI
TRANS000039,CUST0001,2023-07-01 21:27:43,994.68,GBP,FLIGHT727,NU5KUO
TRANS000040,CUST0009,2023-07-01 15:59:16,245.07,GBP,FLIGHT273,PCZ9PV
TRANS000041,CUST0003,2023-07-01 09:34:50,380.35,EUR,FLIGHT523,RPQL46
TRANS000042,CUST0001,2023-07-01 14:23:27,330.06,GBP,FLIGHT317,QKEAHL
TRANS000043,CUST0013,2023-07-01 08:45:40,610.35,GBP,FLIGHT298,64W3ZC
TRANS000044,CUST0004,2023-07-01 13:25:28,556.96,USD,FLIGHT171,I0M5XP
TRANS000045,CUST0019,2023-07-01 11:46:51,722.09,USD,FLIGHT759,C8IUS8
TRANS000046,CUST0014,2023-07-01 12:30:43,400.17,EUR,FLIGHT691,QFAZHC
TRANS000047,CUST0005,2023-07-01 22:11:49,856.74,AUD,FLIGHT200,GMZEJV
TRANS000048,CUST0008,2023-07-01 16:58:02,925.11,GBP,FLIGHT830,FBYLZ4
TRANS000049,CUST0003,2023-07-01 05:20:28,104.66,GBP,FLIGHT974,SEUNS3
TRANS000050,CUST0002,2023-07-01 19:57:29,754.03,AUD,FLIGHT441,HBJ3RI
TRANS000051,CUST0018,2023-07-01 00:29:51,814.66,GBP,FLIGHT113,WLW6KJ
TRANS000052,CUST0019,2023-07-01 14:47:49,296.1,AUD,FLIGHT550,MDOWMX
TRANS000053,CUST0006,2023-07-01 09:05:37,89.34,GBP,FLIGHT419,A9UQGZ
TRANS000054,CUST0001,2023-07-01 16:31:25,840.68,USD,FLIGHT920,V6GRSR
TRANS000055,CUST0018,2023-07-01 12:15:51,261.41,AUD,FLIGHT828,90O9NH
TRANS000056,CUST0012,2023-07-01 02:25:26,778.63,GBP,FLIGHT594,ENPAJN
TRANS000057,CUST0006,2023-07-01 15:03:03,199.11,GBP,FLIGHT925,JT4W0S
TRANS000058,CUST0011,2023-07-01 16:33:51,673.83,GBP,FLIGHT392,5WUD1T
TRANS000059,CUST0007,2023-07-01 15:44:17,459.64,GBP,FLIGHT137,0L9HUM
TRANS000060,CUST0014,2023-07-01 01:35:22,992.75,AUD,FLIGHT984,2Y5EVZ
TRANS000061,CUST0019,2023-07-01 05:44:01,326.57,AUD,FLIGHT890,UIYEB2
TRANS000062,CUST0008,2023-07-01 08:33:24,285.53,GBP,FLIGHT259,POAYRD
TRANS000063,CUST0012,2023-07-01 03:23:18,502.15,EUR,FLIGHT510,AUJIRU
TRANS000064,CUST0020,2023-07-01 21:16:59,235.56,USD,FLIGHT417,ULUPUF
TRANS000065,CUST0005,2023-07-01 03:38:14,153.99,USD,FLIGHT803,SCWN70
TRANS000066,CUST0002,2023-07-01 06:57:26,717.78,AUD,FLIGHT847,UWQ8OI
TRANS000067,CUST0007,2023-07-01 07:54:30,562.94,USD,FLIGHT886,0A9U9I
TRANS000068,CUST0001,2023-07-01 19:00:41,385.28,GBP,FLIGHT957,7HA56S
TRANS000069,CUST0015,2023-07-01 14:36:55,806.14,EUR,FLIGHT694,NPFEE9
TRANS000070,CUST0015,2023-07-01 02:26:07,763.81,GBP,FLIGHT839,72H8BK
TRANS000071,CUST0004,2023-07-01 02:52:00,966.67,EUR,FLIGHT356,RXZNHO
TRANS000072,CUST0003,2023-07-01 08:36:15,803.37,EUR,FLIGHT567,2SK0TK
TRANS000073,CUST0001,2023-07-01 08:41:10,645.74,GBP,FLIGHT656,W3IQ3D
TRANS000074,CUST0012,2023-07-01 18:00:37,238.55,AUD,FLIGHT784,ACSW4M
TRANS000075,CUST0012,2023-07-01 04:26:01,407.17,USD,FLIGHT787,H1BNAJ
TRANS000076,CUST0011,2023-07-01 11:14:24,888.9,JPY,FLIGHT788,Q0XRU7
TRANS000077,CUST0017,2023-07-01 13:37:18,913.21,JPY,FLIGHT322,9UCGHG
TRANS000078,CUST0013,2023-07-01 14:52:43,377.5,JPY,FLIGHT594,062XRT
TRANS000079,CUST0002,2023-07-01 12:29:47,143.99,AUD,FLIGHT533,B6SXV0
TRANS000080,CUST0018,2023-07-01 03:49:31,546.3,USD,FLIGHT951,PAT5CG
TRANS000081,CUST0019,2023-07-01 15:18:23,255.0,AUD,FLIGHT234,DTPAC8
TRANS000082,CUST0004,2023-07-01 02:55:03,741.89,USD,FLIGHT256,SEDW3J
TRANS000083,CUST0010,2023-07-01 02:01:23,298.13,EUR,FLIGHT827,G2M3CB
TRANS000084,CUST0007,2023-07-01 17:23:25,474.81,EUR,FLIGHT515,CBW2XK
TRANS000085,CUST0009,2023-07-01 04:46:34,631.3,USD,FLIGHT295,F1HH2O
TRANS000086,CUST0019,2023-07-01 11:01:33,406.98,JPY,FLIGHT547,5N1EX4
TRANS000087,CUST0018,2023-07-01 00:01:57,172.04,GBP,FLIGHT956,YGA9OE
TRANS000088,CUST0007,2023-07-01 05:47:03,670.36,GBP,FLIGHT447,1P9ICF
TRANS000089,CUST0014,2023-07-01 04:21:19,659.13,USD,FLIGHT754,KHYSYD
TRANS000090,CUST0003,2023-07-01 09:03:03,547.32,AUD,FLIGHT823,2JWCF7
TRANS000091,CUST0009,2023-07-01 04:07:45,930.53,JPY,FLIGHT970,RF4DMC
TRANS000092,CUST0004,2023-07-01 08:38:42,231.0,JPY,FLIGHT108,F1ZEYU
TRANS000093,CUST0019,2023-07-01 10:24:42,454.02,EUR,FLIGHT576,JQVCF8
TRANS000094,CUST0006,2023-07-01 02:04:49,58.14,GBP,FLIGHT267,26ANE0
TRANS000095,CUST0005,2023-07-01 14:22:27,798.36,GBP,FLIGHT675,9DLY79
TRANS000096,CUST0015,2023-07-01 22:48:36,512.55,AUD,FLIGHT111,7NCIDL
TRANS000097,CUST0017,2023-07-01 22:33:55,409.71,GBP,FLIGHT685,5M3OSB
TRANS000098,CUST0012,2023-07-01 21:19:03,435.78,GBP,FLIGHT630,25TOYL
TRANS000099,CUST0013,2023-07-01 10:52:34,755.07,AUD,FLIGHT136,UKQ61M
TRANS000100,CUST0009,2023-07-01 19:32:39,77.34,EUR,FLIGHT501,VDOCVS
