transaction_id,customer_id,transaction_timestamp,price,currency,flight_id,booking_reference
TRANS000485,CUST0009,2023-07-05 16:40:28,565.92,AUD,FLIGHT108,7ZYXIY
TRANS000486,CUST0002,2023-07-05 19:35:20,610.38,GBP,FLIGHT639,5YPGFZ
TRANS000487,CUST0017,2023-07-05 03:20:15,262.67,AUD,FLIGHT457,NVM567
TRANS000488,CUST0020,2023-07-05 18:58:23,780.78,JPY,FLIGHT779,H1F7FA
TRANS000489,CUST0014,2023-07-05 05:56:33,297.21,EUR,FLIGHT496,UUFX3W
TRANS000490,CUST0001,2023-07-05 05:26:04,333.03,USD,FLIGHT722,R7HDJO
TRANS000491,CUST0018,2023-07-05 08:57:02,907.36,GBP,FLIGHT589,L68GB5
TRANS000492,CUST0008,2023-07-05 21:57:45,689.38,JPY,FLIGHT408,MZGR33
TRANS000493,CUST0014,2023-07-05 17:50:18,336.89,JPY,FLIGHT131,ZEG26U
TRANS000494,CUST0001,2023-07-05 09:51:56,870.94,EUR,FLIGHT811,Q3WF2Q
TRANS000495,CUST0013,2023-07-05 00:10:17,349.41,USD,FLIGHT919,4XO81X
TRANS000496,CUST0013,2023-07-05 05:33:44,801.09,EUR,FLIGHT577,I5L8LC
TRANS000497,CUST0001,2023-07-05 10:55:15,518.31,USD,FLIGHT974,BXDJHJ
TRANS000498,CUST0004,2023-07-05 10:44:01,88.63,JPY,FLIGHT453,MB2OA6
TRANS000499,CUST0020,2023-07-05 05:57:08,510.24,JPY,FLIGHT730,HLX6E1
TRANS000500,CUST0013,2023-07-05 23:37:03,900.06,GBP,FLIGHT205,SICMYY
